"URL","Price","Date","Make","Model","Year","Mileage_in_KM","Transmission","City","Color","Fuel_Type","Class","Body_Style","Cylinder_Count","Engine_Capacity"
"https://www.contactcars.com/en/used-cars/skoda-karoq/ab659575dc57","1350000","10/27/2025","Skoda","KAROQ","2020","125000","Automatic","Cairo","Gray","Gas","null","SUV","4","1500CC"
"https://www.contactcars.com/en/used-cars/renault-kadjar/fefd1f205a6b","900000","10/27/2025","Renault","Kadjar","2019","155000","Automatic","Cairo","Silver","Gas","null","SUV","4","1200CC"
"https://www.contactcars.com/en/used-cars/renault-kadjar/12dbb0a373e4","900000","10/27/2025","Renault","Kadjar","2020","160000","Automatic","Qena","Silver","Gas","null","SUV","4","1300CC"
"https://www.contactcars.com/en/used-cars/nissan-sentra/c22fae5f919d","630000","10/27/2025","Nissan","Sentra","2017","166000","Automatic","Cairo","Silver","Gas","null","Sedan","","1600CC"
"https://www.contactcars.com/en/used-cars/mitsubishi-eclipse/bfbe1fe6da02","900000","10/27/2025","Mitsubishi","Eclipse","2019","103000","Automatic","Alexandria","Gray","Gas","null","SUV","","1500CC"
"https://www.contactcars.com/en/used-cars/renault-captur/c807032309fa","630000","10/27/2025","Renault","Captur","2017","70000","Automatic","Cairo","Beige","Gas","null","Hatchback","4","1200CC"
"https://www.contactcars.com/en/used-cars/haval-h6/067d48a2d1fd","1050000","10/27/2025","Haval","H6","2022","115000","Automatic","Alexandria","Maroon","Gas","null","SUV","","1600CC"
"https://www.contactcars.com/en/used-cars/volkswagen-beetles/c0ea3a5e7617","170000","10/27/2025","Volkswagen","Beetles","1971","300000","Manual","Giza","Beige","Gas","null","Sedan","4","1300CC"
"https://www.contactcars.com/en/used-cars/mercedes-gla_180/d5645cbf4dbe","2800000","10/27/2025","Mercedes","GLA 180","2024","5200","Automatic","Giza","Black","Hybrid","null","SUV","4","1300CC"
"https://www.contactcars.com/en/used-cars/hummer-hummer_ev_suv/809110e94742","7500000","10/27/2025","Hummer","Hummer EV SUV","2024","4000","Automatic","Cairo","Black","Gas","null","SUV","10","4600CC"
"https://www.contactcars.com/en/used-cars/ford-kuga/40ad5a0442ee","1150000","10/27/2025","Ford","Kuga","2018","91000","Automatic","Cairo","Blue","Gas","null","SUV","4","1500CC"
"https://www.contactcars.com/en/used-cars/ford-ecosport/f41fdbcd17e9","800000","10/27/2025","Ford","Ecosport","2021","107","Automatic","Cairo","White","Gas","null","SUV","4","1000CC"
"https://www.contactcars.com/en/used-cars/opel-grand_land/90e0ce64f6b1","1900000","10/27/2025","Opel","Grand Land","2026","15000","Automatic","Cairo","Black","Gas","null","SUV","4","1600CC"
"https://www.contactcars.com/en/used-cars/mitsubishi-lancer/ca1045699c28","675000","10/27/2025","Mitsubishi","Lancer","2017","145000","Automatic","Ismailia","Silver","Gas","null","Sedan","4","1600CC"
"https://www.contactcars.com/en/used-cars/mercedes-s320/fd63caeb1983","850000","10/27/2025","Mercedes","S320","2000","200000","Automatic","Asyut","Silver","Gas","null","Sedan","6","3200CC"
"https://www.contactcars.com/en/used-cars/fiat-bravo/210b5bfe2551","420000","10/27/2025","Fiat","Bravo","2011","266000","Manual","Giza","Red","Gas","null","Hatchback","4","1400CC"
"https://www.contactcars.com/en/used-cars/hyundai-accent/eea540c85b64","590000","10/27/2025","Hyundai","Accent","2016","204000","Automatic","Giza","Brown","Gas","null","Sedan","4","1600CC"
"https://www.contactcars.com/en/used-cars/opel-vectra/5d40f87ac14d","500000","10/27/2025","Opel","Vectra","2008","77","Automatic","Alexandria","Gold","Gas","null","Sedan","4","1600CC"
"https://www.contactcars.com/en/used-cars/renault-sandero/c110fd92c363","530000","10/27/2025","Renault","Sandero","2018","92000","Automatic","Cairo","Blue","Gas","null","Hatchback","","1600CC"
"https://www.contactcars.com/en/used-cars/kia-xceed/5479da6d9f22","1000000","10/27/2025","Kia","XCeed","2022","105000","Automatic","Cairo","Black","Gas","null","SUV","","1500CC"
"https://www.contactcars.com/en/used-cars/mercedes-glc_300_coupe/12e5e2846a89","3250000","10/27/2025","Mercedes","GLC 300 COUPE","2020","150000","Automatic","Giza","White","Gas","null","Other","4","2000CC"
"https://www.contactcars.com/en/used-cars/hyundai-tucson/5a87465acdb8","1200000","10/27/2025","Hyundai","Tucson","2017","83000","Automatic","Cairo","Dark Grey","Gas","null","SUV","4","1600CC"
"https://www.contactcars.com/en/used-cars/audi-q7/9bfdc9a60ba9","4300000","10/27/2025","Audi","Q7","2024","65000","Automatic","Cairo","Black","Gas","null","SUV","","2000CC"
"https://www.contactcars.com/en/used-cars/peugeot-5008/0610e92147e6","880000","10/27/2025","Peugeot","5008","2012","169000","Automatic","Cairo","Maroon","Gas","null","SUV","4","1600CC"
"https://www.contactcars.com/en/used-cars/toyota-yaris/d43b9a78cedc","375000","10/27/2025","Toyota","Yaris","2008","300000","Manual","Cairo","Black","Gas","null","Sedan","4","1500CC"
"https://www.contactcars.com/en/used-cars/honda-cr_v/4c0f8bc38a6a","720000","10/27/2025","Honda","CR-V","2007","275000","Automatic","Giza","Black","Gas","null","SUV","4","2400CC"
"https://www.contactcars.com/en/used-cars/nissan-qashqai/3502f364c5fb","780000","10/27/2025","Nissan","Qashqai","2018","228000","Automatic","Giza","Bronze","Gas","null","SUV","","1200CC"
"https://www.contactcars.com/en/used-cars/chery-arrizo_5/eb7be9d83cb1","660000","10/27/2025","Chery","Arrizo 5","2025","22000","Automatic","Cairo","Bronze","Gas","null","Sedan","4","1500CC"
"https://www.contactcars.com/en/used-cars/mitsubishi-lancer/55f836671b45","730000","10/27/2025","Mitsubishi","Lancer","2016","153000","Automatic","Giza","Maroon","Gas","null","Sedan","","1600CC"
"https://www.contactcars.com/en/used-cars/mercedes-e350/426b205e8ee7","1850000","10/27/2025","Mercedes","E350","2010","160000","Automatic","Giza","Silver","Gas","null","Coupe","4","3500CC"
"https://www.contactcars.com/en/used-cars/nissan-qashqai/829d23561c68","900000","10/27/2025","Nissan","Qashqai","2019","115000","Automatic","Cairo","Silver","Gas","null","SUV","","1200CC"
"https://www.contactcars.com/en/used-cars/mg-5/7d8fe0295a12","690000","10/27/2025","MG","5","2020","85000","Automatic","Alexandria","Blue","Gas","null","Sedan","","1500CC"
"https://www.contactcars.com/en/used-cars/suzuki-grand_vitara/154356c6dad1","1400000","10/27/2025","Suzuki","Grand Vitara","2024","25000","Automatic","Giza","Silver","Gas","null","SUV","4","1500CC"
"https://www.contactcars.com/en/used-cars/kia-cerato/a4100a2a3f31","700000","10/27/2025","Kia","Cerato","2016","180000","Automatic","Giza","White","Gas","null","Sedan","4","1600CC"
"https://www.contactcars.com/en/used-cars/hyundai-verna/87f74bc753d0","360000","10/27/2025","Hyundai","Verna","2015","306000","Manual","Cairo","Black","Gas","null","Sedan","","1600CC"
"https://www.contactcars.com/en/used-cars/volkswagen-golf/f62f0719d76a","310000","10/27/2025","Volkswagen","Golf","1998","90000","Automatic","Dakahlia","Navy Blue","Gas","null","Hatchback","4","1600CC"
"https://www.contactcars.com/en/used-cars/opel-astra/bb0278c1c8f2","650000","10/27/2025","Opel","Astra","2017","185000","Automatic","Cairo","Green","Gas","null","Sedan","4","1600CC"
"https://www.contactcars.com/en/used-cars/opel-astra/685e4131fb90","610000","10/27/2025","Opel","Astra","2015","154000","Automatic","Cairo","Gray","Gas","null","Sedan","4","1600CC"
